rank,feature,mean_abs_shap,mean_shap,std_shap
1,gad7,7.088489304358428,-0.014042045338045393,7.41144640510909
2,SSRS,0.5577038476552602,-0.15572241606223464,0.694166838932594
3,age,0.4889932725712252,-0.032081578199816455,0.5707340063446811
4,LES,0.30133459965478726,0.08056600933372415,0.39318800289227424
5,ctq_sf,0.19818473345199722,0.02161895280685329,0.2636313949867765
6,education_years,0.14018397258097076,-0.02661461095896572,0.18926206722927189
7,gender,0.021878931079056085,0.00916030380309748,0.030996685728317545
