condition,snr_db,R2,MAE
Clean,inf,0.22760562184490696,6.282423076923076
SNR 20 dB,20.0,0.1725305323359351,6.512394230769232
SNR 10 dB,10.0,0.12597995177261834,6.774259615384615
SNR 5 dB,5.0,0.11837706400088062,6.865317307692306
SNR 0 dB,0.0,0.10456740489507921,6.972451923076923
SNR -5 dB,-5.0,0.054429660363907006,7.231259615384616
Random audio,-inf,-0.05258615727368515,7.396576923076924
Baseline (mean predictor),,-0.04420476240203662,7.980164377712943
