rank,feature,mean_abs_shap,mean_shap,std_shap
1,spectralFluxV_sma3nz_amean,1.5912553860926004,-0.047442737246738434,1.7486578162504265
2,education_years,0.8527186322655853,-0.0686108983243821,0.9822454693436897
3,logRelF0-H1-A3_sma3nz_amean,0.7270442629401385,0.007801274376809649,0.8809121319943137
4,spectralFlux_sma3_amean,0.6794615657070106,-0.038954935847747854,0.7638683749932651
5,HNRdBACF_sma3nz_stddevNorm,0.5287735886992599,-0.025068611139807667,0.6334419907665109
6,alphaRatioV_sma3nz_stddevNorm,0.47699965916743076,0.018318071816873557,0.639305800148273
7,shimmerLocaldB_sma3nz_stddevNorm,0.41512294473890815,0.022613094301938832,0.5685771795089266
8,mfcc3V_sma3nz_stddevNorm,0.27608692839420573,0.05316437804855298,0.36412808219235954
9,mfcc3_sma3_amean,0.24685414939737274,-0.03508046039150968,0.2824642611966867
10,equivalentSoundLevel_dBp,0.1889227980132152,-0.05642412366851816,0.2026025616267925
11,spectralFluxUV_sma3nz_amean,0.18714770259820787,0.045459470145076564,0.22250910843122113
12,age,0.17378867320765115,-0.0010256671988473436,0.2166005430956462
13,slopeV500-1500_sma3nz_amean,0.14045911208970446,-0.02012649471313253,0.16224899357003641
14,logRelF0-H1-H2_sma3nz_stddevNorm,0.1385817934076951,-0.01858681509257742,0.1921020147132925
15,mfcc2V_sma3nz_amean,0.1281870129004254,-0.012224310871913243,0.14636604913695497
16,mfcc3V_sma3nz_amean,0.12656067998584858,-0.008384752810804575,0.19442001058727387
17,loudness_sma3_stddevNorm,0.11349912222516889,0.01107516714573063,0.1427102516075587
