rank,feature,mean_abs_shap,mean_shap,std_shap
1,gad7,6.143921421616183,0.10759610297608903,6.397006513412242
2,PSQI,1.2232576494618432,-0.09354217475298904,1.366579759691328
3,SSRS,0.5601302485576267,-0.1577182044751932,0.6603007937506492
4,age,0.3991867200423372,-0.026900079603647035,0.48751634518350573
5,ctq_sf,0.2545594443231351,0.007956010653456934,0.3157635448770365
6,LES,0.15083515173161363,0.06282939006428502,0.19890984828207164
7,education_years,0.09408121875233619,-0.0174078358782272,0.13661035424782494
8,gender,0.015713098041447267,0.00526371409314604,0.019094480410334232
